zone_ids,assoc_name,mgmt_company,phone,email,portal_url,gate_policy,dock_rules_summary,outreach_suitability,confidence,sources
"S19","Apache Shores Property Owners Association","Spectrum Association Management","512-834-3900 (Spectrum)","board@apacheshorespoa.com; contact@spectrumam.com","https://apacheshorespoa.com/","Gated lakeside park w/ security access","ACC processes architectural applications via on-site office; deed-restriction inspections; POA lakeside park on Lake Austin arm","B2B-OK (Spectrum + on-site office)","HIGH","https://apacheshorespoa.com/frequently-asked-questions/ ; https://apacheshorespoa.com/aspoa-board/property-management/ ; https://spectrumam.com/texas/austin-hoa-management/ (accessed 2026-07-27)"
"S18","Lake Pointe on Lake Austin Homeowners Association","Cohere (Cohere Life, Inc.) since 2024-10-01","480-367-2626 (Cohere)","connect@coherelife.com; lakepointe@coherelife.com","https://www.lakepointehoa.org/ ; https://coherelife.com/communities/lake-pointe-on-lake-austin-tx/","Gated; security dispatch 512-482-5860","Cohere oversees facilities incl. lakefront amenities; City/LCRA dock rules apply","B2B-OK (Cohere on-site team)","HIGH","https://www.lakepointehoa.org/home/ ; https://www.lakepointehoa.org/faq-1/ (accessed 2026-07-27)"
"S13","Rob Roy on the Lake Owners Association, Inc.","Spectrum Association Management","512-954-6440","contact@spectrumam.com","https://rrotl.weebly.com/","Gated estate community (<50 homes); resident authorization","Unknown HOA-specific; City/LCRA dock rules apply","B2B-OK (Spectrum)","HIGH","https://rrotl.weebly.com/ ; https://commonelements.com/texas/associations/rob-roy-on-the-lake-owners-association-inc-austin-tx (accessed 2026-07-27)"
"S7","Davenport Ranch Master Association","Goodwin & Company","855-289-6007; 512-502-7500","ADRMmanager@goodwintx.com; info@goodwintx.com","https://adrm.sites.townsq.io/ ; http://www.davenportranch.org/","Gated sub-sections; park credentials required for amenities","Master assoc controls common areas; Marina Club Waterfront Association (CMA-managed) governs marina area","B2B-OK (Goodwin)","HIGH","https://adrm.sites.townsq.io/5 ; https://adrm.sites.townsq.io/6 (accessed 2026-07-27)"
"S7","Marina Club Waterfront Association (Davenport Ranch)","Community Association Management (CMA) — per Travis County tax record","NOT FOUND","NOT FOUND","NOT FOUND","Waterfront sub-association","Marina/waterfront common area governance","B2B-OK (verify first)","MEDIUM","https://tax-office.traviscountytx.gov/voterdata/TaxDelqOpenData.csv (accessed 2026-07-27)"
"S10","Rivercrest","NO HOA EXISTS","N/A","N/A","N/A","No gate","No HOA layer; City of Austin dock registration + LCRA HLDO only; shared community dock is private arrangement","N/A — direct-to-homeowner only","MEDIUM","https://www.searchaustinhomes.com/neighborhood/lake-austin/rivercrest/ (accessed 2026-07-27)"
"S5","St. Tropez Homeowners' Association, Inc.","Goodwin & Company","855-289-6007 (Melissa McWilliams)","info@goodwintx.com","https://astpz.sites.townsq.io/","Gated (Westlake Dr/Westlake Pass)","Private HOA marina + pool/greenbelt; marina/dock work requires HOA coordination","B2B-OK (Goodwin)","HIGH","https://astpz.sites.townsq.io/ ; https://www.searchaustinhomes.com/neighborhood/westlake/st-tropez/ (accessed 2026-07-27)"
"S15;S16","Lake Hills Community Association (Cuernavaca/Austin Lake Hills)","Self-managed voluntary association (est. 1959)","NOT FOUND","NOT FOUND (apply via website eForms)","https://lakehillsca.org/","Members-only gated park; $350/yr gate card for deeded-access boat launch; towing enforced","Operates boat ramp, docks, roped beach; contractor staging requires member sponsorship","CAUTION (volunteer board; website contact only)","MEDIUM","https://lakehillsca.org/membership-information/ ; https://www.causeiq.com/organizations/lakehills-community-association,742395981/ (accessed 2026-07-27)"
"S15;S16","Austin Lake Estates HOA","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","Private community park/boat ramp for residents","Community boat ramp on Lake Austin","No channel identified","LOW","https://hoa-community.com/austin-lake-estates-hoa-austin-tx/ (accessed 2026-07-27)"
"S20","Hidden Valley (Lake Austin enclave)","NOT FOUND","NOT FOUND","NOT FOUND","NOT FOUND","Unknown","Unknown; City/LCRA dock rules apply","No channel identified; check TCAD subdivision records","LOW","https://lakeaustinhomes.com/lake-austin-neighborhoods/ (accessed 2026-07-27)"
"N11","Coldwater Canyon HOA / Coldwater Ridge HOA","NOT FOUND (small self-managed regimes likely)","NOT FOUND","NOT FOUND","NOT FOUND","Coldwater Ridge is gated condo regime (5807 City Park Rd); dues ~$360-400/mo cover gate/common areas","Unknown HOA-specific; City/LCRA dock rules apply","No channel identified","LOW-MEDIUM","https://www.homes.com/property/5807-city-park-rd-austin-tx-unit-9/nbzms7f29296k/ ; https://www.redfin.com/TX/Austin/5807-City-Park-Rd-78730/unit-12/home/31075325 (accessed 2026-07-27)"
"N11","Sanctuary at Coldwater","NOT FOUND — no entity under this name","NOT FOUND","NOT FOUND","NOT FOUND","Unknown","Unknown","No channel identified; verify plat name via TCAD","LOW","https://www.homes.com/property/7353-7-coldwater-canyon-dr-austin-tx/f706ftyx2x50f/ (accessed 2026-07-27)"
"S3","Oyster's Landing Marina (commercial)","Oyster's Landing Marina","512-480-9003","NOT FOUND","NOT FOUND","Commercial marina node","Marina ops on Lake Austin","B2B-OK (commercial marina)","MEDIUM","https://lakeaustinhomes.com/lake-austin-marinas/ (accessed 2026-07-27)"
"S3","Oyster Landing residential condo/HOA association","NOT FOUND (referenced in 2013 marina directory only)","NOT FOUND","NOT FOUND","NOT FOUND","Adjacent condo regimes likely small/self-managed","Unknown","No channel identified","LOW","https://www.marinaassociationoftexas.com/wp-content/uploads/2024/08/2013_facilities_services_directory.pdf (accessed 2026-07-27)"
"N1","Tarrytown waterfront (no HOA)","NO MASTER HOA — voluntary civic orgs only (West Austin Neighborhood Group; Stratford Drive NA; Tarrytown Boat Club private)","N/A","N/A","N/A","No gate","No HOA layer; City of Austin dock registration + LCRA HLDO only; some deeded private boat slips","N/A — direct-to-homeowner; civic orgs CAUTION","HIGH","https://lakeaustinhomes.com/lake-austin-neighborhoods/ ; https://www.atxanc.org/current-members (accessed 2026-07-27)"
"Bridge Point","Four Seasons Private Residences Lake Austin (under construction)","NOT FOUND — Four Seasons will manage property; no public HOA/mgmt contact yet","NOT FOUND","NOT FOUND","https://ericmorelandgroup.com/fourseasons","Private gated enclave under construction; access via developer GC","~1 mile private shoreline; lakeside marina planned; governance pre-formation","B2B route: Four Seasons sales/dev team via Eric Moreland Group (project broker)","MEDIUM/LOW","https://ericmorelandgroup.com/fourseasons ; https://www.bldup.com/projects/four-seasons-residences-lake-austin (accessed 2026-07-27)"
"MGMT","Goodwin & Company (Austin HQ, est. 1978)","N/A — management company","855-289-6007; 512-502-7500","info@goodwintx.com","https://www.goodwintx.com ; TownSq app","Vendor approval here unlocks Courtyard, St. Tropez, Davenport Ranch, SRROA, River Place Estates","Handles ACC requests for managed communities","B2B-OK (highest leverage)","HIGH","https://www.hoamanagement.com/association-management-company/goodwin-company/ ; https://lifetimehoamanagement.com/hoa-management-companies-in-austin/ (accessed 2026-07-27)"
"MGMT","Spectrum Association Management (est. 2001)","N/A — management company","512-834-3900","contact@spectrumam.com","https://spectrumam.com/texas/austin-hoa-management/","Vendor approval unlocks Apache Shores + Rob Roy on the Lake","Handles ACC for managed communities","B2B-OK","HIGH","https://spectrumam.com/texas/austin-hoa-management/ ; https://www.vistaoaks.org/general/spectrum-association-management-vista-oaks-new-property-manager/ (accessed 2026-07-27)"
"MGMT","Other large Austin HOA firms (no confirmed lakefront targets this scan): RealManage (Austin office); CCMC 512-975-2351; FirstService Residential; The Management Trust 512-234-3320; Lifetime HOA Management 512-631-4977; Inframark 512-246-0498 (districts)","N/A","see row","see row","realmanage.com; ccmcnet.com; fsresidential.com; managementtrust.com; lifetimehoamanagement.com; inframark.com","Peripheral to target zones","N/A","B2B-OK","MEDIUM","https://lifetimehoamanagement.com/hoa-management-companies-in-austin/ ; https://caiaustin.org/management_companies.php (accessed 2026-07-27)"
